mes,pasajeros
2011-01,112
2011-02,118
2011-03,132
2011-04,129
2011-05,121
2011-06,135
2011-07,148
2011-08,148
2011-09,136
2011-10,119
2011-11,104
2011-12,118
2012-01,115
2012-02,126
2012-03,141
2012-04,135
2012-05,125
2012-06,149
2012-07,170
2012-08,170
2012-09,158
2012-10,133
2012-11,114
2012-12,140
2013-01,145
2013-02,150
2013-03,178
2013-04,163
2013-05,172
2013-06,178
2013-07,199
2013-08,199
2013-09,184
2013-10,162
2013-11,146
2013-12,166
2014-01,171
2014-02,180
2014-03,193
2014-04,181
2014-05,183
2014-06,218
2014-07,230
2014-08,242
2014-09,209
2014-10,191
2014-11,172
2014-12,194
2015-01,196
2015-02,196
2015-03,236
2015-04,235
2015-05,229
2015-06,243
2015-07,264
2015-08,272
2015-09,237
2015-10,211
2015-11,180
2015-12,201
2016-01,204
2016-02,188
2016-03,235
2016-04,227
2016-05,234
2016-06,264
2016-07,302
2016-08,293
2016-09,259
2016-10,229
2016-11,203
2016-12,229
2017-01,242
2017-02,233
2017-03,267
2017-04,269
2017-05,270
2017-06,315
2017-07,364
2017-08,347
2017-09,312
2017-10,274
2017-11,237
2017-12,278
2018-01,284
2018-02,277
2018-03,317
2018-04,313
2018-05,318
2018-06,374
2018-07,413
2018-08,405
2018-09,355
2018-10,306
2018-11,271
2018-12,306
2019-01,315
2019-02,301
2019-03,356
2019-04,348